ra,dec,vlos,vlos_err,has_vlos,vlos_src,x_pc,y_pc,r_pc,preprocess_mode
151.698875,16.073666666666668,-171.4,2.2,True,SIMON,-26.161229684358506,-3.30507182685974,2.940352,dwarf
151.698875,16.073666666666668,-172.8,2.2,True,SIMON,-26.161229684358506,-3.30507182685974,2.940352,dwarf
151.69899999999998,16.03430555555556,-146.2,2.3,True,SIMON,-26.11301510697807,-19.10563450789987,3.607932,dwarf
151.69904166666666,15.99161111111111,-218.5,2.4,True,SIMON,-26.096943581187865,-36.24428294880522,4.980138,dwarf
151.69975,16.13663888888889,-4.199999999999989,6.5,True,SIMON,-25.82372764271512,21.973598319872224,3.780905,dwarf
151.70216666666667,16.166138888888888,98.0,2.6,True,SIMON,-24.891579146775246,33.81565729465352,4.682091,dwarf
151.70216666666667,16.166138888888888,85.5,11.7,True,SIMON,-24.891579146775246,33.81565729465352,4.682091,dwarf
151.70354166666667,15.97786111111111,-207.8,2.3,True,SIMON,-24.361218795639576,-41.76388670823694,5.391334,dwarf
151.70354166666667,15.97786111111111,-220.9,7.0,True,SIMON,-24.361218795639576,-41.76388670823694,5.391334,dwarf
151.70374999999999,16.103694444444447,-156.9,2.2,True,SIMON,-24.280861166678736,8.748850726566726,2.877884,dwarf
151.70437499999997,16.06352777777778,9.0,13.6,True,SIMON,-24.03978827980603,-7.375082679774325,2.803919,dwarf
151.70437499999997,16.06352777777778,-8.599999999999994,5.1,True,SIMON,-24.03978827980603,-7.375082679774325,2.803919,dwarf
151.70558333333332,15.973666666666666,-122.9,2.2,True,SIMON,-23.573714031831184,-43.44764462273065,5.511903,dwarf
151.70558333333332,15.973666666666666,-123.3,2.3,True,SIMON,-23.573714031831184,-43.44764462273065,5.511903,dwarf
151.70679166666667,16.052305555555556,-8.5,9.4,True,SIMON,-23.107639783846523,-11.879971404644307,2.897248,dwarf
151.70679166666667,16.052305555555556,0.30000000000001137,6.7,True,SIMON,-23.107639783846523,-11.879971404644307,2.897248,dwarf
151.70725,16.04641666666667,-123.6,2.7,True,SIMON,-22.930853000144452,-14.243922913733776,3.010101,dwarf
151.70725,16.04641666666667,-126.1,2.2,True,SIMON,-22.930853000144452,-14.243922913733776,3.010101,dwarf
151.70870833333333,15.961527777777777,-20.30000000000001,4.8,True,SIMON,-22.36834959741856,-48.32050693156309,5.937391,dwarf
151.70870833333333,15.961527777777777,-22.0,5.0,True,SIMON,-22.36834959741856,-48.32050693156309,5.937391,dwarf
151.7095833333333,16.11913888888889,-4.800000000000011,6.5,True,SIMON,-22.030847555794804,14.948648080595483,2.968731,dwarf
151.71179166666667,16.064222222222224,104.60000000000002,11.9,True,SIMON,-21.179056688805954,-7.0963148131362175,2.490657,dwarf
151.71266666666668,16.073694444444445,-104.3,3.9,True,SIMON,-20.841554647162567,-3.2939211121946754,2.352828,dwarf
