SDSSJ100636.70+160901.1   12.8  2.9  3.3  0.5  7.9 54881.284 22.49 20.86 19.58 0 -9.999 -9.999 
SDSSJ100636.70+160901.1   15.6  2.3  2.7  0.3  7.9 54889.343                                   
SDSSJ100637.21+160620.9  230.7  7.4  2.8  1.5  6.5 54881.284 20.99 20.70 20.62 1  0.981  0.950 
SDSSJ100637.21+160620.9  212.8  4.4  0.2  0.4  6.5 54889.343                                   
SDSSJ100637.49+161155.1  228.0  2.5  2.0  0.4  9.7 54881.416 20.36 20.02 19.87 0  0.685  0.226 
SDSSJ100637.49+161155.1  222.5  4.9  2.4  0.8  9.7 54881.284                                   
SDSSJ100637.71+155906.8  162.2  4.4  3.4  0.6  8.1 54890.444 22.69 21.75 21.24 0 -9.999 -9.999 
SDSSJ100637.80+160222.6   56.9  2.3  2.9  0.3  6.4 54416.551 23.20 21.50 20.32 0 -9.999 -9.999 
SDSSJ100637.90+155934.4  -25.3  3.0  2.4  0.4  7.8 54416.551 23.03 21.96 20.60 0 -9.999 -9.999 
SDSSJ100638.09+155737.2   -1.1  2.4  4.0  0.3  9.1 55240.355 21.50 20.18 19.42 0 -9.999 -9.999 
SDSSJ100638.19+155951.2   32.8  8.1  3.2  0.5  7.5 54416.551 23.07 22.51 21.28 0 -9.999 -9.999 
SDSSJ100638.34+161147.9  146.4 21.9  3.1  1.4  9.5 54889.343 22.83 21.56 20.76 0 -9.999 -9.999 
SDSSJ100638.34+161147.9  118.2  3.2  4.1  0.5  9.5 54881.416                                   
SDSSJ100638.68+160942.5   80.6  2.2  4.3  0.3  7.9 54889.343 18.66 18.03 17.79 0  0.000  0.000 
SDSSJ100638.68+160942.5   80.3  2.3  4.4  0.3  7.9 54881.284                                   
SDSSJ100638.69+160033.9   24.7  2.2  5.0  0.3  7.0 54881.284 17.00 16.26 15.99 0  0.000  0.000 
SDSSJ100638.69+160033.9   19.7  2.2  5.6  0.3  7.0 54889.343                                   
SDSSJ100638.75+160613.7  212.9  7.4  1.7  0.5  6.1 54889.343 21.79 21.39 21.19 1  0.983  0.913 
SDSSJ100638.77+161402.6   10.0  2.3  2.0  0.3 11.3 54889.343 23.58 22.12 20.44 0 -9.999 -9.999 
SDSSJ100638.79+161022.2    4.5  2.5  3.5  0.4  8.4 54889.343 23.07 21.62 20.83 0 -9.999 -9.999 
SDSSJ100638.89+155432.8   17.7  2.4  2.6  0.3 11.5 54890.444 22.53 20.86 19.84 0 -9.999 -9.999 
SDSSJ100639.33+160008.6  205.4  2.5  0.6  0.3  7.2 55240.355 19.44 19.03 18.90 1  0.940  0.946 
SDSSJ100639.33+160008.6  199.2  2.5 -1.9  0.5  7.2 54889.343                                   
SDSSJ100639.33+160008.6  208.4  4.4  0.5  0.5  7.2 54881.284                                   
SDSSJ100640.21+155826.2  215.8  6.3  4.6  0.7  8.1 54890.444 21.82 21.78 21.50 0  0.039  0.185 
SDSSJ100640.21+155826.2  225.3  5.9  2.4  0.8  8.1 55240.355                                   
SDSSJ100640.37+161034.7  184.1  2.9  3.9  0.5  8.2 54881.284 20.05 19.51 19.27 0  0.000  0.003 
SDSSJ100640.37+161034.7  180.5  2.3  3.5  0.3  8.2 54889.343                                   
SDSSJ100640.37+161034.7  180.6  2.3  3.8  0.3  8.2 54881.416                                   
