ra,dec,vlos,vlos_err,src,x_pc,y_pc,r_pc
151.80508333333336,16.110472222222224,209.3,4.8,SIMON,14.65722824459563,11.451783961488678,18.60047568517486
151.81074999999998,16.031805555555554,207.9,2.3,SIMON,16.842955263510788,-20.12703997126357,26.244673364579473
151.811625,16.10752777777778,205.7,5.4,SIMON,17.180457229672125,10.269808206943372,20.01592044418629
151.81225,16.080222222222222,207.7,3.7,SIMON,17.42153006264764,-0.6913443092628055,17.43524208830166
151.81287500000002,16.118944444444445,210.7,10.9,SIMON,17.66260289562316,14.852751934471357,23.07751678745827
151.8155,16.05,205.1,4.3,SIMON,18.67510879408524,-12.823321865347449,22.653857775955466
151.81583333333333,16.09561111111111,205.1,7.1,SIMON,18.803680971673646,5.486151615435084,19.587656256735325
151.81775000000002,16.061194444444446,213.0,14.6,SIMON,19.542970992790522,-8.329583855142777,21.244050518319405
151.84845833333335,16.24088888888889,206.7,6.7,SIMON,31.38768285273027,63.804389316101364,71.10686838037664
151.850125,15.938638888888889,217.2,10.0,SIMON,32.030543740639395,-57.526536959414756,65.8426775493215
151.85033333333334,16.07497222222222,197.6,7.6,SIMON,32.110901351634894,-2.7988293810460383,32.232645431590534
151.86483333333334,16.02622222222222,219.2,8.8,SIMON,37.70379107654408,-22.368333619033198,43.839687617911416
151.86829166666666,16.12811111111111,217.4,14.3,SIMON,39.03772741897716,18.53248777409224,43.213392196577665
151.87941666666666,16.07208333333333,212.9,9.8,SIMON,43.32882384584488,-3.9585037062605153,43.509271741282156
151.91508333333334,15.988249999999999,204.5,7.0,SIMON,57.086046847354574,-37.611360566797615,68.36249840624625
151.928,16.018583333333332,206.8,2.2,SIMON,62.06821872873528,-25.434780152050603,67.07750604741706
151.93145833333332,16.16311111111111,220.4,7.4,SIMON,63.40215507116838,32.58238825264665,71.28425697104998
