ra,dec,vlos,vlos_err,vlos_src,x_pc,y_pc,r_pc,preprocess_mode
259.493163,58.099785,-459.648388,0.660477,apogee,-393.53047250957275,244.71017096117276,463.41050977017557,dwarf
259.496411,57.952736,47.197979,0.019127,apogee,-391.24201717945425,49.656990867020134,394.38069520276434,dwarf
259.496411,57.952736,47.441939,0.016831,apogee,-391.24201717945425,49.656990867020134,394.38069520276434,dwarf
259.501704,58.177334,32.752559,0.023493,apogee,-387.512708662761,347.5750599649805,520.552131572631,dwarf
259.529507,57.533234,21.934998999999998,0.021313,apogee,-367.9234464881893,-506.7915341542779,626.2629811558353,dwarf
259.531949,57.981709,16.949597999999998,0.103217,apogee,-366.2028775485432,88.08823342473548,376.64848916824826,dwarf
259.533658,58.02969,-270.087414,0.115525,apogee,-364.9987611202231,151.73264198307734,395.2807739600579,dwarf
259.543284,57.869194,-270.686413,0.076775,apogee,-358.2165348247482,-61.15731437425431,363.3996462894831,dwarf
259.570263,58.448349,-44.998501000000005,0.112152,apogee,-339.20784136696415,707.0629694592077,784.2193586142259,dwarf
259.624531,57.559937,-0.48609900000000295,0.034725,apogee,-300.97203660892603,-471.3713336221117,559.2629980440445,dwarf
259.62491,57.41177,26.401498999999994,0.006121,apogee,-300.7050031821699,-667.9074850751068,732.4779229151844,dwarf
259.625472,58.358604,17.242198999999996,0.953144,apogee,-300.3090327709998,588.0206934318269,660.2680145727945,dwarf
259.625472,58.358604,20.292598999999996,0.183831,apogee,-300.3090327709998,588.0206934318269,660.2680145727945,dwarf
259.625472,58.358604,24.495498999999995,0.621651,apogee,-300.3090327709998,588.0206934318269,660.2680145727945,dwarf
259.625472,58.358604,11.669099999999997,0.064621,apogee,-300.3090327709998,588.0206934318269,660.2680145727945,dwarf
259.626561,57.763527,30.626608999999995,0.008877,apogee,-299.54175202761985,-201.31933098781917,360.9082074948687,dwarf
259.626561,57.763527,30.688159,0.007832,apogee,-299.54175202761985,-201.31933098781917,360.9082074948687,dwarf
259.636805,57.848934,-244.819409,0.119026,apogee,-292.32409919461696,-88.03119606477416,305.2914516499585,dwarf
